method,noise_sigma,parameter_name,parameter_value,PSNR,SSIM,runtime_seconds
noisy_image,0.1,,,20.421019331827708,0.2963928471978835,0.0
gaussian_filter,0.1,filter_sigma,1.0,27.171125855326714,0.6387131707414204,0.005264899984467775
tikhonov,0.1,lambda,0.001,20.45527381431168,0.29737706987175067,0.02213950001168996
tikhonov,0.1,lambda,0.005,20.58975243346905,0.30126455037949595,0.02235879999352619
tikhonov,0.1,lambda,0.01,20.752386654374526,0.30601686474279755,0.021677899989299476
tikhonov,0.1,lambda,0.05,21.873123267520388,0.3404009061395982,0.020339999988209456
tikhonov,0.1,lambda,0.1,22.94504718795133,0.3764316562044804,0.021596400009002537
tikhonov,0.1,lambda,0.2,24.417736999000933,0.4332221154170456,0.022326699981931597
tikhonov,0.1,lambda,0.5,26.324756351224913,0.5387822856705897,0.03094790002796799
tikhonov,0.1,lambda,1.0,26.801758742885763,0.622012538477356,0.020498599973507226
