method,parameter,PSNR,SSIM,runtime_seconds
blurred_only,-,25.56859481829665,0.7500697107167977,0.0
blurred_noisy,-,25.4194496795872,0.6994596222248546,0.0
tikhonov_deblur,lambda=0.01,27.757792111354107,0.7469534304568429,0.02021810004953295
tikhonov_deblur,lambda=0.05,27.244470878978294,0.7761913342561136,0.018798000062815845
wiener_deblur,balance=1e-05,9.7392278931142,0.0489473189199536,0.019013799959793687
wiener_deblur,balance=3e-05,13.144826761075857,0.09282930646492897,0.020470599993132055
wiener_deblur,balance=0.0001,17.508106566767164,0.17437284499220074,0.01910809997934848
wiener_deblur,balance=0.0003,21.453814689200318,0.2892106845759597,0.019512400031089783
wiener_deblur,balance=0.001,25.10808546445348,0.4604671931584248,0.019462700001895428
wiener_deblur,balance=0.003,27.09927775103616,0.6217053147125872,0.01913799997419119
wiener_deblur,balance=0.01,27.636506518930556,0.7366445936455349,0.01882550003938377
wiener_deblur,balance=0.03,26.745216869115694,0.7728911415756967,0.018529799999669194
wiener_deblur,balance=0.1,22.9470558481083,0.7615763278865664,0.019757000030949712
