blur_sigma,noise_sigma,method,parameter,PSNR,SSIM,runtime_seconds
1.0,0.01,blurred_noisy,-,28.90629275044157,0.8128135192007576,0.0
1.0,0.01,tikhonov_deblur,lambda=0.01,30.554317990124417,0.8034071057763575,0.023281299974769354
1.0,0.01,tikhonov_deblur,lambda=0.05,30.169183664186527,0.8556999280404363,0.021834899904206395
1.0,0.01,wiener_deblur,balance=0.01,28.85242329494899,0.6668731751774151,0.020121200010180473
1.0,0.01,wiener_deblur,balance=0.03,29.24506036859489,0.7968482198773019,0.020382200018502772
1.0,0.01,richardson_lucy,num_iter=5,27.277261798885043,0.8467858237803023,0.10611819999758154
1.0,0.01,richardson_lucy,num_iter=10,25.56447799604205,0.8346077171599814,0.20336799998767674
2.0,0.01,blurred_noisy,-,25.415687262268275,0.6988916768555422,0.0
2.0,0.01,tikhonov_deblur,lambda=0.01,27.749095361720265,0.7449295316018201,0.02290560002438724
2.0,0.01,tikhonov_deblur,lambda=0.05,27.247158725064885,0.7758116773860376,0.02143879991490394
2.0,0.01,wiener_deblur,balance=0.01,27.622518326110566,0.7342636939162386,0.01902499992866069
2.0,0.01,wiener_deblur,balance=0.03,26.741727105327733,0.7719523631562202,0.01922400004696101
2.0,0.01,richardson_lucy,num_iter=5,23.737153023302202,0.7387164897574086,0.10163069993723184
2.0,0.01,richardson_lucy,num_iter=10,22.56261950904269,0.7454894020847451,0.20012399996630847
3.0,0.01,blurred_noisy,-,23.713776229517805,0.6346242768322357,0.0
3.0,0.01,tikhonov_deblur,lambda=0.01,26.026181289035843,0.694782924198561,0.021689699962735176
3.0,0.01,tikhonov_deblur,lambda=0.05,25.490485014486865,0.7171245194897007,0.020739300060085952
3.0,0.01,wiener_deblur,balance=0.01,25.795412624831542,0.7103026856534925,0.01901499996893108
3.0,0.01,wiener_deblur,balance=0.03,24.89610269412344,0.7165317194276304,0.02189370000269264
3.0,0.01,richardson_lucy,num_iter=5,21.850222844518356,0.6598382358889638,0.10120530007407069
3.0,0.01,richardson_lucy,num_iter=10,20.66849968636369,0.6639202647571606,0.2036715999711305
