method,blur_sigma,noise_sigma,parameter_name,parameter_value,PSNR,SSIM,runtime_seconds
blurred_only,2.0,0.01,,,25.56859481829665,0.7500697107167977,0.0
blurred_noisy,2.0,0.01,,,25.4194496795872,0.6994596222248546,0.0
tikhonov_deblur,2.0,0.01,lambda,0.0001,20.044275127311103,0.24290087731587306,0.02044749999186024
tikhonov_deblur,2.0,0.01,lambda,0.0005,24.73190069468722,0.4391008985229096,0.022074800042901188
tikhonov_deblur,2.0,0.01,lambda,0.001,26.158024811793332,0.5341935629075012,0.021869299991521984
tikhonov_deblur,2.0,0.01,lambda,0.005,27.68410198253818,0.7070100047063383,0.020983700000215322
tikhonov_deblur,2.0,0.01,lambda,0.01,27.757792111354107,0.7469534304568429,0.022780200000852346
tikhonov_deblur,2.0,0.01,lambda,0.05,27.244470878978294,0.7761913342561136,0.023814700020011514
tikhonov_deblur,2.0,0.01,lambda,0.1,26.839419083651435,0.7717265657502678,0.02147430001059547
